HSNCode,CGSTRate,SGSTRate,IGSTRate
0202,2.5,2.5,5
0203,2.5,2.5,5
0204,2.5,2.5,5
0205,2.5,2.5,5
0206,2.5,2.5,5
0207,2.5,2.5,5
0208,2.5,2.5,5
0209,2.5,2.5,5
0210,2.5,2.5,5
0303,2.5,2.5,5
0304,2.5,2.5,5
0305,2.5,2.5,5
0306,2.5,2.5,5
0307,2.5,2.5,5
0308,2.5,2.5,5
0401,2.5,2.5,5
0402,2.5,2.5,5
0403,2.5,2.5,5
0404,2.5,2.5,5
0406,2.5,2.5,5
0408,2.5,2.5,5
0409,2.5,2.5,5
0410,2.5,2.5,5
0502,2.5,2.5,5
0504,2.5,2.5,5
0505,2.5,2.5,5
0507,2.5,2.5,5
0508,2.5,2.5,5
0510,2.5,2.5,5
0511,2.5,2.5,5
07,2.5,2.5,5
0713,2.5,2.5,5
0714,2.5,2.5,5
0801,2.5,2.5,5
0802,2.5,2.5,5
0813,2.5,2.5,5
0802,2.5,2.5,5
08,2.5,2.5,5
0804,2.5,2.5,5
0806,2.5,2.5,5
0811,2.5,2.5,5
0812,2.5,2.5,5
0814,2.5,2.5,5
0901,2.5,2.5,5
0902,2.5,2.5,5
0903,2.5,2.5,5
0904,2.5,2.5,5
0905,2.5,2.5,5
0906,2.5,2.5,5
0907,2.5,2.5,5
0908,2.5,2.5,5
0909,2.5,2.5,5
0910,2.5,2.5,5
10,2.5,2.5,5
1001,2.5,2.5,5
1002,2.5,2.5,5
1003,2.5,2.5,5
1004,2.5,2.5,5
1005,2.5,2.5,5
1006,2.5,2.5,5
1007,2.5,2.5,5
1008,2.5,2.5,5
1101,2.5,2.5,5
1102,2.5,2.5,5
1103,2.5,2.5,5
1104,2.5,2.5,5
1105,2.5,2.5,5
1106,2.5,2.5,5
713,2.5,2.5,5
1109 00 00,2.5,2.5,5
12,2.5,2.5,5
1201,2.5,2.5,5
1202,2.5,2.5,5
1203,2.5,2.5,5
1204,2.5,2.5,5
1205,2.5,2.5,5
1206,2.5,2.5,5
1207,2.5,2.5,5
1208,2.5,2.5,5
1210 20 00,2.5,2.5,5
1211,2.5,2.5,5
1212,2.5,2.5,5
1301,2.5,2.5,5
1301,2.5,2.5,5
13,2.5,2.5,5
1401,2.5,2.5,5
1404,2.5,2.5,5
1404,2.5,2.5,5
3305,2.5,2.5,5
1507,2.5,2.5,5
1508,2.5,2.5,5
1509,2.5,2.5,5
1510,2.5,2.5,5
1511,2.5,2.5,5
1512,2.5,2.5,5
1513,2.5,2.5,5
1514,2.5,2.5,5
1515,2.5,2.5,5
1516,2.5,2.5,5
1517,2.5,2.5,5
1518,2.5,2.5,5
1701,2.5,2.5,5
1702,2.5,2.5,5
1704,2.5,2.5,5
1801,2.5,2.5,5
1802,2.5,2.5,5
1803,2.5,2.5,5
1901 20 00,2.5,2.5,5
1902,2.5,2.5,5
1903,2.5,2.5,5
1905,2.5,2.5,5
1905,2.5,2.5,5
2106,2.5,2.5,5
1905 40 00,2.5,2.5,5
2106,2.5,2.5,5
2106 90,2.5,2.5,5
2106 90,2.5,2.5,5
2201 90 10,2.5,2.5,5
2207,2.5,2.5,5
2301,2.5,2.5,5
2302,2.5,2.5,5
2302,2.5,2.5,5
2303,2.5,2.5,5
2304,2.5,2.5,5
2305,2.5,2.5,5
2306,2.5,2.5,5
2307,2.5,2.5,5
2401,2.5,2.5,5
2502,2.5,2.5,5
2503,2.5,2.5,5
2504,2.5,2.5,5
2505,2.5,2.5,5
2506,2.5,2.5,5
2507,2.5,2.5,5
2508,2.5,2.5,5
2509,2.5,2.5,5
2510,2.5,2.5,5
2511,2.5,2.5,5
2512,2.5,2.5,5
2513,2.5,2.5,5
2514,2.5,2.5,5
2515,2.5,2.5,5
6802,2.5,2.5,5
2515 11 00,2.5,2.5,5
2516,2.5,2.5,5
2516 11 00,2.5,2.5,5
2517,2.5,2.5,5
2518,2.5,2.5,5
2519,2.5,2.5,5
2520,2.5,2.5,5
2521,2.5,2.5,5
2522,2.5,2.5,5
2524,2.5,2.5,5
2525,2.5,2.5,5
2526,2.5,2.5,5
2528,2.5,2.5,5
2529,2.5,2.5,5
2530,2.5,2.5,5
26,2.5,2.5,5
2601,2.5,2.5,5
2602,2.5,2.5,5
2603,2.5,2.5,5
2604,2.5,2.5,5
2605,2.5,2.5,5
2606,2.5,2.5,5
2607,2.5,2.5,5
2608,2.5,2.5,5
2609,2.5,2.5,5
2610,2.5,2.5,5
2611,2.5,2.5,5
2612,2.5,2.5,5
2613,2.5,2.5,5
2614,2.5,2.5,5
2615,2.5,2.5,5
2616,2.5,2.5,5
2617,2.5,2.5,5
2618,2.5,2.5,5
2621,2.5,2.5,5
27,2.5,2.5,5
2701,2.5,2.5,5
2702,2.5,2.5,5
2703,2.5,2.5,5
2704,2.5,2.5,5
2705,2.5,2.5,5
2706,2.5,2.5,5
2710,2.5,2.5,5
2711 12 00,2.5,2.5,5
2711 13 00,2.5,2.5,5
2711 19 00,2.5,2.5,5
28,2.5,2.5,5
28,2.5,2.5,5
28,2.5,2.5,5
28,2.5,2.5,5
2805 11,2.5,2.5,5
2809,2.5,2.5,5
2845,2.5,2.5,5
2853,2.5,2.5,5
30,2.5,2.5,5
3002,2.5,2.5,5
3006,2.5,2.5,5
30,2.5,2.5,5
30,2.5,2.5,5
30,2.5,2.5,5
30,2.5,2.5,5
30,2.5,2.5,5
30,2.5,2.5,5
30,2.5,2.5,5
30,2.5,2.5,5
3101,2.5,2.5,5
3102,2.5,2.5,5
3103,2.5,2.5,5
3104,2.5,2.5,5
3105,2.5,2.5,5
32,2.5,2.5,5
3202,2.5,2.5,5
3307 41 00,2.5,2.5,5
3402,2.5,2.5,5
3915,2.5,2.5,5
4001,2.5,2.5,5
4004 00 00,2.5,2.5,5
4011 30 00,2.5,2.5,5
4011,2.5,2.5,5
4013,2.5,2.5,5
4016,2.5,2.5,5
4017,2.5,2.5,5
4101,2.5,2.5,5
4102,2.5,2.5,5
4103,2.5,2.5,5
4104,2.5,2.5,5
4105,2.5,2.5,5
4106,2.5,2.5,5
4107,2.5,2.5,5
4112,2.5,2.5,5
4113,2.5,2.5,5
4114,2.5,2.5,5
4115,2.5,2.5,5
4401,2.5,2.5,5
4501,2.5,2.5,5
4601,2.5,2.5,5
4602,2.5,2.5,5
